DISPLAYNAME,EXTERNAL,MAIL,PWDRESET,SURNAME,USERNAME,GIVENNAME
myadmin,TRUE,myadmin@test.de,TRUE,myadmin,vorname
myadmin,TRUE,myadmin@test.de,TRUE,"myadmin, with ""long"" name",myadmin,vorname
mynormaluser,TRUE,mynormaluser@test.de,TRUE,mynormaluser,mynormaluser2,vorname
mynormaluser,TRUE,mynormaluser@test.de,TRUE,mynormaluser,mynormaluser3,vorname
doubleuser1,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser2,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser3,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser4,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser5,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser6,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser7,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser8,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser9,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser10,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser11,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser12,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser13,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser14,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser15,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser16,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser17,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser18,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser19,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser20,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser21,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser22,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser23,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser24,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser25,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser26,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser27,TRUE,doubleuser@test.de,TRUE,"doubleuser,doubleuser,doubleuser,

doubleuser,
doubleuser,


doubleuser,
doubleuser,





doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
doubleuser,
",doubleuser, vorname
doubleuser28,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser29,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser30,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser31,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser32,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser33,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser34,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser35,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser36,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser37,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser38,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser39,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser40,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser41,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser42,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser43,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser44,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser45,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser46,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser47,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser48,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser49,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser50,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser51,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser52,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser53,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser54,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser55,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser56,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser57,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser58,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser59,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser60,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser61,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser62,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser63,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser64,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
doubleuser65,TRUE,doubleuser@test.de,TRUE,doubleuser,doubleuser,vorname
